index	source	source_id	English_name	Chinese_name	clean_name	name2	note1	note2	group1	group2	stat_standard	stat_shape	stat_cook	stat_storage	stat_meat	stat_seasoning	edible	Energy_kcal	Energy_kJ	Water	Protein	Fat	Ash	Fiber	Carbohydrate	Sugar	Alcohol	Caffeine	saturated_fat_acid	monounsat_fat_acid	polyunsat_fat_acid	trans_fat_acid	Cholesterol	Phytosterol	Fructose	VA_RAE	VA_IU	Retinol	Carotene	Thiamin	Riboflavin	Niacin	Nicotincin	VB6	VB12	VC	VD	VE	Tocopherol.gama	VK	Folate	Choline	Ca	Fe	Mg	p	K	Na	Zn	Cu	Mn	Se	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Arginine	Histidine	F18D2	F18D3	F18D4	F20D4	F20D5	F22D5	F22D6	others	total_name	key_name_cn
China_52008	China	52008		紫菜（干）	紫菜		（干）		菌藻类	藻类			干		NA		100	250	1046	12.7	26.7	1.1	15.4	21.6	44.1	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.228	0	1.37	0.27	1.02	7.3	0	0	0	2	NA	1.82	NA	NA	0	NA	264	54.9	105	350	1796	0	2.47	1.68	4.32	0.00722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 52008; name: 紫菜（干）; pinyin: ZC（G）; cateno: 52; category_lvl1_id: 5; category_lvl2_id: 52; a_vit_e: 1.61; i: 4.323	紫菜	紫菜
China_81110	China	81110		猪肉（瘦）	猪肉		（瘦）		蓄肉类及制品	猪					NA		100	143	598	71	20.3	6.2	1	0	1.5	NA	0	NA	NA	NA	NA	NA	81	NA	NA	NA	0.044	0.044	0	0.54	0.1	5.3	0	0	0	0	NA	0.34	NA	NA	0	NA	6	3	25	189	305	57.5	2.99	0.11	0.03	0.0095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81110; name: 猪肉（瘦）; pinyin: ZR（S）; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.29; i: 0.0017	猪肉	猪肉
China_81101	China	81101		猪肉（肥瘦）（均值）	猪肉		（均值）		蓄肉类及制品	猪					NA		100	395	1653	46.8	13.2	37	0.6	0	2.4	NA	0	NA	NA	NA	NA	NA	80	NA	NA	NA	0.018	0.018	0	0.22	0.16	3.5	0	0	0	0	NA	0.35	NA	NA	0	NA	6	1.6	16	162	204	59.4	2.06	0.06	0.03	0.01197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81101; name: 猪肉（肥瘦）（均值）; pinyin: ZR（FS）（JZ）; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.35; i: 0.0017	猪肉	猪肉
China_81204	China	81204		猪肝	猪肝				蓄肉类及制品	猪					NA		99	129	540	70.7	19.3	3.5	1.5	0	5	NA	0	NA	NA	NA	NA	NA	288	NA	NA	NA	4.972	4.972	0	0.21	2.08	15	0	0	0	20	NA	0.86	NA	NA	0	NA	6	22.6	24	310	235	68.6	5.78	0.65	0.26	0.01921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81204; name: 猪肝; pinyin: ZG; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.86; i: 0	猪肝	猪肝
China_81114	China	81114		猪大排	猪大排				蓄肉类及制品	猪					NA		68	264	1105	58.8	18.3	20.4	0.8	0	1.7	NA	0	NA	NA	NA	NA	NA	165	NA	NA	NA	0.012	0.012	0	0.8	0.15	5.3	0	0	0	0	NA	0.11	NA	NA	0	NA	8	0.8	17	125	274	44.5	1.72	0.12	0.05	0.0103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81114; name: 猪大排; pinyin: ZDP; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.11; i: 0	猪大排	猪大排
China_63909	China	63909		中华猕猴桃[毛叶猕猴桃]	中华猕猴桃			[毛叶猕猴桃]	水果类及制品	浆果类					NA		83	61	255	83.4	0.8	0.6	0.7	2.6	14.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.022	0	0.13	0.05	0.02	0.3	0	0	0	62	NA	2.43	NA	NA	0	NA	27	1.2	12	26	144	0	0.57	1.87	0.73	0.00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 63909; name: 中华猕猴桃[毛叶猕猴桃]; pinyin: ZHHT[MYHT]; cateno: 63; category_lvl1_id: 6; category_lvl2_id: 63; a_vit_e: 0.77; i: 0	中华猕猴桃	中华猕猴桃
China_72017	China	72017		芝麻籽（黑）	芝麻籽		（黑）		坚果、种子类	种子					NA		100	559	2339	5.7	19.1	46.1	5.1	14	24	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.66	0.25	5.9	0	0	0	0	NA	50.4	NA	NA	0	NA	780	22.7	290	516	358	0	6.13	1.77	17.85	0.0047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 72017; name: 芝麻籽（黑）; pinyin: ZMZ（H）; cateno: 72; category_lvl1_id: 7; category_lvl2_id: 72; a_vit_e: 0; i: 0	芝麻籽	芝麻籽
China_72016	China	72016		芝麻籽（白）	芝麻籽		（白）		坚果、种子类	种子					NA		100	536	2243	5.3	18.4	39.6	5.2	9.8	31.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.36	0.26	3.8	0	0	0	0	NA	38.28	NA	NA	0	NA	620	14.1	202	513	266	0	4.21	1.41	1.17	0.00406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 72016; name: 芝麻籽（白）; pinyin: ZMZ（B）; cateno: 72; category_lvl1_id: 7; category_lvl2_id: 72; a_vit_e: 0; i: 0	芝麻籽	芝麻籽
China_192017	China	192017		芝麻油[香油]	芝麻油			[香油]	油脂	植物油					NA		100	898	3757	0.1	0	99.7	0	0	0.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	68.53	NA	NA	0	NA	9	2.2	3	4	0	1.1	0.17	0.05	0.76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 192017; name: 芝麻油[香油]; pinyin: ZMY[XY]; cateno: 192; category_lvl1_id: 19; category_lvl2_id: 192; a_vit_e: 1.77; i: 0	芝麻油	芝麻油
China_71038	China	71038		榛子仁（熟）	榛子仁		（熟）		坚果、种子类	树坚果					NA		100	628	2597	2.2	15.6	52.9	2.6	0	26.7	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	0.19	0.12	NA	1.2	0	0	0	NA	22.18	NA	NA	0	NA	86	4.2	168	336	807	0	2.22	1.39	2.9	0.00112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 71038; name: 榛子仁（熟）; pinyin: ZZR（S）; cateno: 71; category_lvl1_id: 7; category_lvl2_id: 71; a_vit_e: NA; i: 0	榛子仁	榛子仁
